ASIC Model,Coin Supported,Hashrate,Power Consumption (W),Price (USD),Daily Mined,Daily Revenue (USD),Daily Electricity Cost (USD),Daily Profit (USD),ROI (Days)
ASIC_Model_1,KAS,151.67,3165,1938,52324.99094,4547.04,6.38,4540.66,0.4
ASIC_Model_2,BTC,92.55,2978,3702,0.00035,36.84,6.0,30.84,120.0
ASIC_Model_3,KAS,126.94,2187,2900,43795.33917,3805.81,4.41,3801.4,0.8
ASIC_Model_4,KAS,128.56,2903,1137,44354.60572,3854.42,5.85,3848.57,0.3
ASIC_Model_5,BTC,199.32,2457,2120,0.00076,79.34,4.95,74.39,28.5
ASIC_Model_6,BTC,187.6,3929,2084,0.00071,74.68,7.92,66.76,31.2
ASIC_Model_7,KAS,223.31,3622,4421,77042.35913,6694.98,7.3,6687.68,0.7
ASIC_Model_8,DOGE,117.74,3304,4504,141.28601,27.14,6.66,20.48,219.9
ASIC_Model_9,KAS,152.57,2090,1570,52636.54554,4574.12,4.21,4569.91,0.3
ASIC_Model_10,KAS,119.16,2140,5988,41109.43205,3572.41,4.31,3568.1,1.7
ASIC_Model_11,KAS,210.86,1601,2187,72745.94985,6321.62,3.23,6318.39,0.3
ASIC_Model_12,KAS,158.02,3277,5878,54518.60427,4737.67,6.61,4731.06,1.2
ASIC_Model_13,BTC,123.27,1777,2937,0.00047,49.07,3.58,45.49,64.6
ASIC_Model_14,KAS,180.83,2598,972,62387.0581,5421.44,5.24,5416.2,0.2
ASIC_Model_15,DOGE,95.01,2004,2594,114.01215,21.9,4.04,17.86,145.2
ASIC_Model_16,BTC,224.77,3739,4099,0.00085,89.47,7.54,81.93,50.0
ASIC_Model_17,DOGE,161.96,2688,4340,194.35279,37.34,5.42,31.92,136.0
ASIC_Model_18,DOGE,153.22,2908,3561,183.86885,35.32,5.86,29.46,120.9
ASIC_Model_19,DOGE,238.27,3239,3128,285.9185,54.92,6.53,48.39,64.6
ASIC_Model_20,DOGE,206.36,1848,3675,247.63622,47.57,3.73,43.84,83.8
ASIC_Model_21,BTC,142.25,3011,3882,0.00054,56.62,6.07,50.55,76.8
ASIC_Model_22,BTC,181.27,2850,1220,0.00069,72.16,5.75,66.41,18.4
ASIC_Model_23,DOGE,173.33,2008,2722,208.00018,39.96,4.05,35.91,75.8
ASIC_Model_24,DOGE,243.79,3857,2059,292.54503,56.2,7.78,48.42,42.5
ASIC_Model_25,BTC,225.13,2997,4976,0.00086,89.61,6.04,83.57,59.5
ASIC_Model_26,BTC,209.57,3237,3246,0.0008,83.42,6.53,76.89,42.2
ASIC_Model_27,BTC,176.35,3701,5914,0.00067,70.2,7.46,62.74,94.3
ASIC_Model_28,KAS,183.88,3061,2874,63438.66434,5512.82,6.17,5506.65,0.5
ASIC_Model_29,KAS,244.44,2239,5045,84332.09296,7328.46,4.51,7323.95,0.7
ASIC_Model_30,KAS,187.13,1764,4951,64558.29047,5610.12,3.56,5606.56,0.9
ASIC_Model_31,DOGE,134.16,2641,1584,160.99184,30.93,5.32,25.61,61.9
ASIC_Model_32,KAS,137.4,2046,3443,47404.29751,4119.43,4.12,4115.31,0.8
ASIC_Model_33,DOGE,116.44,2541,4418,139.73125,26.84,5.12,21.72,203.4
ASIC_Model_34,DOGE,92.5,3708,5263,111.00219,21.32,7.48,13.84,380.3
ASIC_Model_35,KAS,157.74,2311,2495,54421.76173,4729.25,4.66,4724.59,0.5
ASIC_Model_36,DOGE,153.18,1805,1945,183.81725,35.31,3.64,31.67,61.4
ASIC_Model_37,KAS,136.96,2391,4498,47250.54724,4106.07,4.82,4101.25,1.1
ASIC_Model_38,KAS,92.25,3767,5009,31827.20621,2765.78,7.59,2758.19,1.8
ASIC_Model_39,BTC,121.81,2180,2613,0.00046,48.49,4.39,44.1,59.3
ASIC_Model_40,KAS,203.81,3119,1300,70316.07579,6110.47,6.29,6104.18,0.2
ASIC_Model_41,BTC,216.43,1501,5691,0.00082,86.15,3.03,83.12,68.5
ASIC_Model_42,KAS,186.95,2381,2867,64498.99061,5604.96,4.8,5600.16,0.5
ASIC_Model_43,KAS,238.21,2262,3492,82181.80849,7141.6,4.56,7137.04,0.5
ASIC_Model_44,BTC,194.17,1912,5156,0.00074,77.29,3.85,73.44,70.2
ASIC_Model_45,BTC,236.39,2835,4314,0.0009,94.1,5.72,88.38,48.8
ASIC_Model_46,KAS,226.01,2712,4623,77972.12949,6775.78,5.47,6770.31,0.7
ASIC_Model_47,DOGE,161.91,3231,1887,194.29453,37.32,6.51,30.81,61.2
ASIC_Model_48,BTC,105.27,2174,3616,0.0004,41.9,4.38,37.52,96.4
ASIC_Model_49,DOGE,149.33,2110,4418,179.1971,34.42,4.25,30.17,146.4
ASIC_Model_50,DOGE,197.01,1921,1988,236.41752,45.42,3.87,41.55,47.8
